@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 30\nSize of the tree: 59\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

heart,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,268,29,26,3,0,89.655172,10.344828,0,0.789346,0.174909,0.319823,35.251937,64.281565,28.793911,1084.071012,-1055.277101,0.992893,37.381759,-36.388866,19.479101,0.671693,1955.657707,0.9375,15,0.153846,2,0.846154,11,0.0625,1,0.882353,0.9375,0.909091,0.877404,0.896552,0.112898,0.887102,0.103448,0.897735,0.896552,0.89605,0.877404,0.002,0,0.002374,0.000022,10004,40181,6482,'Number of leaves: 18\nSize of the tree: 35\n',35,18,18
heart,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,23,7,0,76.666667,23.333333,0,0.537445,0.244484,0.41987,49.152549,84.155797,29.906577,1093.961498,-1064.054921,0.996886,36.465383,-35.468497,15.443768,0.514792,1551.203154,0.6875,11,0.142857,2,0.857143,12,0.3125,5,0.846154,0.6875,0.758621,0.845982,0.766667,0.222024,0.777976,0.233333,0.780694,0.766667,0.765888,0.845982,0.003,0,0.002407,0.000024,11448,40040,6623,'Number of leaves: 22\nSize of the tree: 43\n',43,22,22
heart,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,26,4,0,86.666667,13.333333,0,0.732143,0.174944,0.346306,35.171786,69.411115,29.906577,1087.787502,-1057.880925,0.996886,36.259583,-35.262697,19.937397,0.66458,2002.552281,0.875,14,0.142857,2,0.857143,12,0.125,2,0.875,0.875,0.875,0.877232,0.866667,0.134524,0.865476,0.133333,0.866667,0.866667,0.866667,0.877232,0.002,0,0.002539,0.000022,10365,40040,6623,'Number of leaves: 19\nSize of the tree: 37\n',37,19,19
heart,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,22,8,0,73.333333,26.666667,0,0.454545,0.283162,0.457812,56.928649,91.760631,29.906577,1098.305711,-1068.399134,0.996886,36.61019,-35.613304,13.157009,0.438567,1321.516442,0.875,14,0.428571,6,0.571429,8,0.125,2,0.7,0.875,0.777778,0.810268,0.733333,0.286905,0.713095,0.266667,0.746667,0.733333,0.725926,0.810268,0.002,0,0.0024,0.000022,10004,40040,6623,'Number of leaves: 18\nSize of the tree: 35\n',35,18,18
heart,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,24,6,0,80,20,0,0.594595,0.228083,0.437088,45.855169,87.606868,29.906577,3235.399582,-3205.493004,0.996886,107.846653,-106.849767,16.56177,0.552059,1663.497487,0.875,14,0.285714,4,0.714286,10,0.125,2,0.777778,0.875,0.823529,0.790179,0.8,0.210714,0.789286,0.2,0.803704,0.8,0.79819,0.790179,0.002,0.001,0.002393,0.000023,12531,40040,6623,'Number of leaves: 25\nSize of the tree: 49\n',49,25,25
heart,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,22,8,0,73.333333,26.666667,0,0.464286,0.303179,0.506936,60.952938,101.606614,29.906577,5383.355035,-5353.448458,0.996886,179.445168,-178.448282,12.165582,0.405519,1221.935515,0.75,12,0.285714,4,0.714286,10,0.25,4,0.75,0.75,0.75,0.662946,0.733333,0.269048,0.730952,0.266667,0.733333,0.733333,0.733333,0.662946,0.003,0,0.002437,0.000021,11087,40040,6623,'Number of leaves: 21\nSize of the tree: 41\n',41,21,21
heart,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,24,6,0,80,20,0,0.598214,0.233185,0.426558,46.881039,85.49628,29.906577,2164.50644,-2134.599863,0.996886,72.150215,-71.153329,16.337485,0.544583,1640.969882,0.8125,13,0.214286,3,0.785714,11,0.1875,3,0.8125,0.8125,0.8125,0.796875,0.8,0.201786,0.798214,0.2,0.8,0.8,0.8,0.796875,0.002,0,0.002411,0.000022,10365,40040,6623,'Number of leaves: 19\nSize of the tree: 37\n',37,19,19
heart,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,267,30,27,3,0,90,10,0,0.8,0.137674,0.288111,27.678821,57.74693,29.906577,1081.733083,-1051.826505,0.996886,36.057769,-35.060884,22.231856,0.741062,2233.012384,0.875,14,0.071429,1,0.928571,13,0.125,2,0.933333,0.875,0.903226,0.915179,0.9,0.096429,0.903571,0.1,0.902222,0.9,0.900111,0.915179,0.003,0,0.002806,0.000024,10365,40040,6623,'Number of leaves: 19\nSize of the tree: 37\n',37,19,19
heart,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,268,29,23,6,0,79.310345,20.689655,0,0.57561,0.266112,0.420593,53.633312,84.535425,28.793911,2162.677999,-2133.884088,0.992893,74.575103,-73.58221,14.143194,0.487696,1419.944727,0.875,14,0.307692,4,0.692308,9,0.125,2,0.777778,0.875,0.823529,0.783654,0.793103,0.225796,0.774204,0.206897,0.79589,0.793103,0.790568,0.783654,0.003,0,0.002526,0.00002,8560,40181,6482,'Number of leaves: 14\nSize of the tree: 27\n',27,14,14
heart,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20150617.1158,268,29,21,8,0,72.413793,27.586207,0,0.434146,0.312826,0.482016,63.048426,96.880933,28.793911,2168.811957,-2140.018046,0.992893,74.786619,-73.793726,11.105738,0.382956,1114.990963,0.8125,13,0.384615,5,0.615385,8,0.1875,3,0.722222,0.8125,0.764706,0.737981,0.724138,0.296253,0.703747,0.275862,0.724486,0.724138,0.720757,0.737981,0.002,0,0.002364,0.000022,8921,40181,6482,'Number of leaves: 15\nSize of the tree: 29\n',29,15,15
