@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 30\nSize of the tree: 59\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumPredictionLeaves numeric
@attribute measureNodesExpanded numeric
@attribute measureExamplesProcessed numeric
@attribute measureOutOfBagError numeric
@attribute measureNumRules numeric

@data

heart,1,10,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,268,29,25,4,0,86.206897,13.793103,0,0.717073,0.26043,0.342035,52.488122,68.746029,28.793911,15.823814,12.970097,0.992893,0.545649,0.447245,14.833157,0.511488,1489.215435,0.9375,15,0.230769,3,0.769231,10,0.0625,1,0.833333,0.9375,0.882353,0.903846,0.862069,0.155338,0.844662,0.137931,0.867294,0.862069,0.860379,0.903846,0.012,0,0.010431,0.000099,4631,40181,6482,?,31,21,16,95,12653,?,?
heart,2,1,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,25,5,0,83.333333,16.666667,0,0.660633,0.270933,0.359131,54.470125,71.981566,29.906577,17.294821,12.611756,0.996886,0.576494,0.420392,14.593701,0.486457,1465.82073,0.9375,15,0.285714,4,0.714286,10,0.0625,1,0.789474,0.9375,0.857143,0.895089,0.833333,0.181548,0.818452,0.166667,0.845295,0.833333,0.830476,0.895089,0.016,0,0.01068,0.000104,4635,40040,6623,?,31,21,14,96,11610,?,?
heart,2,2,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,27,3,0,90,10,0,0.8,0.266377,0.325661,53.554067,65.273066,29.906577,15.334312,14.572265,0.996886,0.511144,0.485742,15.298997,0.509967,1536.66206,0.875,14,0.071429,1,0.928571,13,0.125,2,0.933333,0.875,0.903226,0.941964,0.9,0.096429,0.903571,0.1,0.902222,0.9,0.900111,0.941964,0.021,0,0.011149,0.000106,4631,40040,6623,?,31,21,16,96,12659,?,?
heart,2,3,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,25,5,0,83.333333,16.666667,0,0.663677,0.275782,0.373116,55.445027,74.784701,29.906577,19.327106,10.579471,0.996886,0.644237,0.352649,14.27052,0.475684,1433.359744,0.875,14,0.214286,3,0.785714,11,0.125,2,0.823529,0.875,0.848485,0.870536,0.833333,0.172619,0.827381,0.166667,0.834087,0.833333,0.832772,0.870536,0.021,0,0.010718,0.000105,4633,40040,6623,?,31,21,15,94,12236,?,?
heart,2,4,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,21,9,0,70,30,0,0.394619,0.342873,0.426169,68.933347,85.418237,29.906577,22.426384,7.480193,0.996886,0.747546,0.24934,9.730095,0.324336,977.310318,0.75,12,0.357143,5,0.642857,9,0.25,4,0.705882,0.75,0.727273,0.823661,0.7,0.307143,0.692857,0.3,0.699548,0.7,0.69899,0.823661,0.015,0,0.010737,0.000102,4633,40040,6623,?,31,21,15,93,12472,?,?
heart,2,5,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,23,7,0,76.666667,23.333333,0,0.529148,0.330575,0.409205,66.460897,82.018083,29.906577,21.912672,7.993905,0.996886,0.730422,0.266464,10.923516,0.364117,1097.179946,0.8125,13,0.285714,4,0.714286,10,0.1875,3,0.764706,0.8125,0.787879,0.832589,0.766667,0.239881,0.760119,0.233333,0.766817,0.766667,0.765881,0.832589,0.017,0,0.010883,0.000104,4631,40040,6623,?,31,21,16,94,12493,?,?
heart,2,6,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,23,7,0,76.666667,23.333333,0,0.541485,0.322839,0.419226,64.905667,84.026761,29.906577,22.228747,7.67783,0.996886,0.740958,0.255928,11.184058,0.372802,1123.349331,0.625,10,0.071429,1,0.928571,13,0.375,6,0.909091,0.625,0.740741,0.841518,0.766667,0.213095,0.786905,0.233333,0.804147,0.766667,0.762738,0.841518,0.019,0.001,0.010874,0.000102,4631,40040,6623,?,31,21,16,91,12490,?,?
heart,2,7,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,267,30,23,7,0,76.666667,23.333333,0,0.533333,0.297952,0.373817,59.902185,74.925254,29.906577,18.467477,11.439101,0.996886,0.615583,0.381303,12.851002,0.428367,1290.780474,0.75,12,0.214286,3,0.785714,11,0.25,4,0.8,0.75,0.774194,0.881696,0.766667,0.230952,0.769048,0.233333,0.768889,0.766667,0.766926,0.881696,0.018,0,0.010395,0.000104,4633,40040,6623,?,31,21,15,99,11886,?,?
heart,2,8,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,268,29,24,5,0,82.758621,17.241379,0,0.643735,0.267908,0.328245,53.995347,65.974301,28.793911,14.789025,14.004886,0.992893,0.509966,0.482927,14.366726,0.495404,1442.386795,0.9375,15,0.307692,4,0.692308,9,0.0625,1,0.789474,0.9375,0.857143,0.939904,0.827586,0.197779,0.802221,0.172414,0.83902,0.827586,0.823731,0.939904,0.014,0,0.010688,0.000101,4633,40181,6482,?,31,21,15,97,12619,?,?
heart,2,9,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20150617.1027,268,29,23,6,0,79.310345,20.689655,0,0.57561,0.26582,0.345427,53.574558,69.427695,28.793911,15.396171,13.39774,0.992893,0.530902,0.461991,14.121796,0.486958,1417.79635,0.875,14,0.307692,4,0.692308,9,0.125,2,0.777778,0.875,0.823529,0.935096,0.793103,0.225796,0.774204,0.206897,0.79589,0.793103,0.790568,0.935096,0.01,0.001,0.010151,0.000097,4633,40181,6482,?,31,21,15,96,12683,?,?
